GENESIS-Tabelle: 12411-007s
Bevölkerung: Kreis, Geschlecht,;;;
Altersjahre (75)/ Altersjahre (88), Stichtag;;;
Fortschreibung des Bevölkerungsstandes;;;
Bevölkerung (Anzahl);;;
Bayern;;;
31.12.2019;;;
;Insgesamt;männlich;weiblich
unter 1;128036;65655;62381
1 bis unter 2;129004;66034;62970
2 bis unter 3;129351;65942;63409
3 bis unter 4;128468;65900;62568
4 bis unter 5;124081;63556;60525
5 bis unter 6;121568;62566;59002
6 bis unter 7;118088;60261;57827
7 bis unter 8;117114;60303;56811
8 bis unter 9;113054;58181;54873
9 bis unter 10;114851;58856;55995
10 bis unter 11;113220;58123;55097
11 bis unter 12;116512;59847;56665
12 bis unter 13;116249;59572;56677
13 bis unter 14;114072;58764;55308
14 bis unter 15;116076;59671;56405
15 bis unter 16;118967;60669;58298
16 bis unter 17;120236;61525;58711
17 bis unter 18;122415;62928;59487
18 bis unter 19;126824;66023;60801
19 bis unter 20;136543;71150;65393
20 bis unter 21;143560;76030;67530
21 bis unter 22;150868;79821;71047
22 bis unter 23;157436;83085;74351
23 bis unter 24;157695;82863;74832
24 bis unter 25;157340;82479;74861
25 bis unter 26;160229;83819;76410
26 bis unter 27;167779;87430;80349
27 bis unter 28;171120;88400;82720
28 bis unter 29;175015;91535;83480
29 bis unter 30;183943;95836;88107
30 bis unter 31;179016;92538;86478
31 bis unter 32;182834;94995;87839
32 bis unter 33;177465;92261;85204
33 bis unter 34;175914;90919;84995
34 bis unter 35;169006;86861;82145
35 bis unter 36;168782;86356;82426
36 bis unter 37;169749;86772;82977
37 bis unter 38;173777;88104;85673
38 bis unter 39;172750;87099;85651
39 bis unter 40;171513;86285;85228
40 bis unter 41;164369;82662;81707
41 bis unter 42;161664;80946;80718
42 bis unter 43;160767;81057;79710
43 bis unter 44;159339;80174;79165
44 bis unter 45;156353;78486;77867
45 bis unter 46;158673;79493;79180
46 bis unter 47;157982;79145;78837
47 bis unter 48;170034;85032;85002
48 bis unter 49;183415;92019;91396
49 bis unter 50;190138;95534;94604
50 bis unter 51;204876;103625;101251
51 bis unter 52;213169;108106;105063
52 bis unter 53;217884;110298;107586
53 bis unter 54;218937;110721;108216
54 bis unter 55;216814;110137;106677
55 bis unter 56;219750;110871;108879
56 bis unter 57;216107;108375;107732
57 bis unter 58;208728;104337;104391
58 bis unter 59;204868;102486;102382
59 bis unter 60;195867;97868;97999
60 bis unter 61;188708;94136;94572
61 bis unter 62;178601;88773;89828
62 bis unter 63;172310;85124;87186
63 bis unter 64;164922;81555;83367
64 bis unter 65;154838;75510;79328
65 bis unter 66;150270;72337;77933
66 bis unter 67;143582;68675;74907
67 bis unter 68;143459;68070;75389
68 bis unter 69;137890;65366;72524
69 bis unter 70;138573;65769;72804
70 bis unter 71;134340;63490;70850
71 bis unter 72;126895;60135;66760
72 bis unter 73;122945;58199;64746
73 bis unter 74;107049;49770;57279
74 bis unter 75;85503;39559;45944
75 bis unter 76;109669;50969;58700
76 bis unter 77;108232;49929;58303
77 bis unter 78;103447;47355;56092
78 bis unter 79;123540;55151;68389
79 bis unter 80;128211;56341;71870
80 bis unter 81;123041;53604;69437
81 bis unter 82;106808;45809;60999
82 bis unter 83;93425;39257;54168
83 bis unter 84;83753;34320;49433
84 bis unter 85;74352;29543;44809
85 bis unter 90;229901;84501;145400
90 bis unter 95;96260;29080;67180
95 oder älter;23959;4978;18981
Insgesamt;13124737;6507691;6617046
__________
"Das Merkmal Geschlecht kann Fälle mit der Ausprägung
'unbestimmt' bzw. ab dem Berichtsjahr 2019 'divers'
beinhalten. Diese werden nicht gesondert fortgeschrieben,
sondern durch ein definiertes Umschlüsselungsverfahren auf
männlich und weiblich verteilt. Eine Fortschreibung ist
derzeit nicht möglich, da Änderungen des Geschlechts an die
Statistik nicht gemeldet werden.

Die Bestimmung des Alters der Bevölkerung erfolgt mittels
der Auszählung nach Geburtsjahren. Dabei werden die
Personen eines bestimmten Geburtsjahrganges jeweils dem
Altersjahr zugeordnet, dem sie am Jahresende angehören
(Beispiel für das Berichtsjahr 2019: Geburtsjahr 2019 =
Altersjahr 0 bis unter 1; Geburtsjahr 2018 = Altersjahr 1
bis unter 2 usw.)."
© Bayerisches Landesamt für Statistik, Fürth 2021
Stand: 22.04.2021 / 10:04:01
