GENESIS-Tabelle: 12621-002
Lebenserwartung, Überlebende, Sterbenswahrscheinlichkeit:;;;;;;
Land, Geschlecht, Alter, Jahr;;;;;;
Sterbetafeln;;;;;;
Bayern;;;;;;
Jahr: 2017/19;;;;;;
;männlich;männlich;männlich;weiblich;weiblich;weiblich
;Lebenserwartung in Jahren;Überlebende;Sterbewahrscheinlichkeit;Lebenserwartung in Jahren;Überlebende;Sterbewahrscheinlichkeit
;Anzahl;Anzahl;Ziffer;Anzahl;Anzahl;Ziffer
unter 1 Jahr;79,51;100000;0,002733;83,88;100000;0,002641
1 Jahr;78,72;99727;0,000185;83,10;99736;0,000172
2 Jahre;77,74;99708;0,000125;82,12;99719;0,000121
3 Jahre;76,75;99696;0,000117;81,13;99707;0,000073
4 Jahre;75,76;99684;0,000098;80,13;99699;0,000098
5 Jahre;74,76;99674;0,000117;79,14;99690;0,000106
6 Jahre;73,77;99663;0,000091;78,15;99679;0,000084
7 Jahre;72,78;99653;0,000075;77,15;99671;0,000073
8 Jahre;71,79;99646;0,000057;76,16;99663;0,000042
9 Jahre;70,79;99640;0,000063;75,16;99659;0,000048
10 Jahre;69,79;99634;0,000074;74,17;99654;0,000042
11 Jahre;68,80;99627;0,000062;73,17;99650;0,000126
12 Jahre;67,80;99620;0,000096;72,18;99638;0,000072
13 Jahre;66,81;99611;0,000112;71,18;99631;0,000082
14 Jahre;65,82;99600;0,000116;70,19;99622;0,000058
15 Jahre;64,82;99588;0,000194;69,19;99617;0,000125
16 Jahre;63,84;99569;0,000261;68,20;99604;0,000162
17 Jahre;62,85;99543;0,000310;67,21;99588;0,000157
18 Jahre;61,87;99512;0,000450;66,22;99572;0,000183
19 Jahre;60,90;99467;0,000470;65,24;99554;0,000180
20 Jahre;59,93;99421;0,000504;64,25;99536;0,000162
21 Jahre;58,96;99370;0,000453;63,26;99520;0,000158
22 Jahre;57,99;99325;0,000459;62,27;99504;0,000160
23 Jahre;57,01;99280;0,000412;61,28;99489;0,000139
24 Jahre;56,04;99239;0,000494;60,29;99475;0,000174
25 Jahre;55,06;99190;0,000453;59,30;99457;0,000177
26 Jahre;54,09;99145;0,000402;58,31;99440;0,000163
27 Jahre;53,11;99105;0,000436;57,32;99423;0,000238
28 Jahre;52,13;99062;0,000461;56,33;99400;0,000219
29 Jahre;51,16;99016;0,000500;55,34;99378;0,000280
30 Jahre;50,18;98967;0,000551;54,36;99350;0,000290
31 Jahre;49,21;98912;0,000608;53,37;99321;0,000293
32 Jahre;48,24;98852;0,000537;52,39;99292;0,000286
33 Jahre;47,26;98799;0,000770;51,40;99264;0,000297
34 Jahre;46,30;98723;0,000631;50,42;99234;0,000446
35 Jahre;45,33;98660;0,000701;49,44;99190;0,000400
36 Jahre;44,36;98591;0,000830;48,46;99151;0,000422
37 Jahre;43,40;98509;0,000850;47,48;99109;0,000451
38 Jahre;42,43;98426;0,000889;46,50;99064;0,000472
39 Jahre;41,47;98338;0,001019;45,52;99017;0,000617
40 Jahre;40,51;98238;0,001032;44,55;98956;0,000523
41 Jahre;39,55;98137;0,001176;43,57;98904;0,000609
42 Jahre;38,60;98021;0,001152;42,60;98844;0,000711
43 Jahre;37,64;97908;0,001323;41,63;98774;0,000801
44 Jahre;36,69;97779;0,001493;40,66;98695;0,000764
45 Jahre;35,75;97633;0,001699;39,69;98619;0,000992
46 Jahre;34,81;97467;0,001740;38,73;98522;0,001041
47 Jahre;33,87;97297;0,002094;37,77;98419;0,001120
48 Jahre;32,94;97093;0,002260;36,82;98309;0,001310
49 Jahre;32,01;96874;0,002528;35,86;98180;0,001473
50 Jahre;31,09;96629;0,002669;34,92;98035;0,001507
51 Jahre;30,17;96371;0,003029;33,97;97888;0,001892
52 Jahre;29,26;96079;0,003553;33,03;97702;0,001959
53 Jahre;28,36;95738;0,003860;32,09;97511;0,002189
54 Jahre;27,47;95368;0,004231;31,16;97297;0,002232
55 Jahre;26,59;94965;0,004914;30,23;97080;0,002608
56 Jahre;25,72;94498;0,005414;29,31;96827;0,003035
57 Jahre;24,85;93987;0,006221;28,40;96533;0,003261
58 Jahre;24,01;93402;0,006488;27,49;96218;0,003620
59 Jahre;23,16;92796;0,007350;26,59;95870;0,003911
60 Jahre;22,33;92114;0,008157;25,69;95495;0,004413
61 Jahre;21,51;91362;0,009414;24,80;95074;0,005014
62 Jahre;20,71;90502;0,010270;23,92;94597;0,005425
63 Jahre;19,92;89573;0,011020;23,05;94084;0,005857
64 Jahre;19,13;88586;0,012082;22,18;93533;0,006340
65 Jahre;18,36;87515;0,013351;21,32;92940;0,007063
66 Jahre;17,60;86347;0,014581;20,47;92283;0,007688
67 Jahre;16,85;85088;0,015929;19,63;91574;0,008184
68 Jahre;16,12;83733;0,017567;18,78;90825;0,009461
69 Jahre;15,40;82262;0,018563;17,96;89965;0,010126
70 Jahre;14,68;80735;0,020992;17,14;89054;0,011824
71 Jahre;13,98;79040;0,021948;16,34;88001;0,012777
72 Jahre;13,29;77305;0,025156;15,54;86877;0,014127
73 Jahre;12,62;75360;0,026778;14,76;85650;0,015218
74 Jahre;11,95;73342;0,027997;13,98;84346;0,017289
75 Jahre;11,28;71289;0,031476;13,21;82888;0,018973
76 Jahre;10,63;69045;0,034750;12,46;81315;0,020139
77 Jahre;10,00;66646;0,037821;11,70;79678;0,022889
78 Jahre;9,37;64125;0,041667;10,97;77854;0,025164
79 Jahre;8,75;61453;0,046981;10,24;75895;0,029778
80 Jahre;8,16;58566;0,052382;9,54;73635;0,034047
81 Jahre;7,58;55498;0,060618;8,86;71128;0,040630
82 Jahre;7,04;52134;0,068220;8,21;68238;0,046783
83 Jahre;6,52;48578;0,078590;7,59;65045;0,054356
84 Jahre;6,03;44760;0,088235;6,99;61510;0,063239
85 Jahre;5,57;40811;0,099910;6,43;57620;0,074211
86 Jahre;5,13;36733;0,114332;5,91;53344;0,086308
87 Jahre;4,73;32533;0,129436;5,42;48740;0,099311
88 Jahre;4,36;28322;0,146151;4,96;43900;0,115082
89 Jahre;4,02;24183;0,164583;4,54;38848;0,132736
90 Jahre;3,71;20203;0,180649;4,16;33691;0,152457
91 Jahre;3,42;16553;0,195582;3,82;28555;0,168951
92 Jahre;3,13;13316;0,224041;3,49;23730;0,195104
93 Jahre;2,89;10333;0,245529;3,22;19100;0,218065
94 Jahre;2,67;7796;0,270194;2,98;14935;0,235909
95 Jahre;2,48;5689;0,297858;2,74;11412;0,261358
96 Jahre;2,31;3995;0,317556;2,54;8429;0,290763
97 Jahre;2,16;2726;0,340075;2,37;5978;0,315252
98 Jahre;2,01;1799;0,364412;2,24;4094;0,327218
99 Jahre;1,88;1143;0,388968;2,08;2754;0,348552
100 Jahre;1,76;699;0,413635;1,92;1794;0,381058
__________
"ab 2011/13:
Sterbewahrscheinlichkeit männlich und weiblich:
Rohe Beobachtungswerte im Betrachtungszeitraum
bzw. ab folgenden Altersjahren Schätzwerte eines
Extrapolationsmodells:
- 2011/13: männlich und weiblich ab Alter '94'
- 2012/14: männlich ab Alter '99'
- 2013/15: männlich und weiblich ab Alter '96'
- 2014/16: männl. ab Alter '95' und weiblich ab Alter '99'
- 2015/17: männl. ab Alter '99' und weiblich ab Alter '95'
- 2016/18: männl. ab Alter '99' und weiblich ab Alter '96'
- 2017/19: männl. ab Alter '98' und weiblich ab Alter '100'"
© Bayerisches Landesamt für Statistik, Fürth 2021
Stand: 23.04.2021 / 23:41:20
