"Meldejahr";"Meldewoche";"Altersgruppen.Inz";"Inzidenz";"Anzahl"
"2020";"05";"'05-09";0;0
"2020";"05";"'10-14";0;0
"2020";"05";"00-04";0,16;1
"2020";"05";"15-19";0;0
"2020";"05";"20-34";0,12;3
"2020";"05";"35-59";0,06;3
"2020";"05";"60-79";0;0
"2020";"05";"80+";0;0
"2020";"05";"Gesamt";0,05;7
"2020";"06";"'05-09";0,17;1
"2020";"06";"'10-14";0;0
"2020";"06";"00-04";0,16;1
"2020";"06";"15-19";0;0
"2020";"06";"20-34";0,12;3
"2020";"06";"35-59";0,06;3
"2020";"06";"60-79";0;0
"2020";"06";"80+";0;0
"2020";"06";"Gesamt";0,06;8
"2020";"07";"'05-09";0;0
"2020";"07";"'10-14";0;0
"2020";"07";"00-04";0,16;1
"2020";"07";"15-19";0;0
"2020";"07";"20-34";0;0
"2020";"07";"35-59";0,04;2
"2020";"07";"60-79";0;0
"2020";"07";"80+";0;0
"2020";"07";"Gesamt";0,02;3
"2020";"09";"'05-09";0;0
"2020";"09";"'10-14";0;0
"2020";"09";"00-04";0;0
"2020";"09";"15-19";0;0
"2020";"09";"20-34";0,08;2
"2020";"09";"35-59";0,13;6
"2020";"09";"60-79";0,04;1
"2020";"09";"80+";0;0
"2020";"09";"Gesamt";0,07;9
"2020";"10";"'05-09";0,51;3
"2020";"10";"'10-14";1,04;6
"2020";"10";"00-04";0,16;1
"2020";"10";"15-19";1,12;7
"2020";"10";"20-34";0,92;23
"2020";"10";"35-59";1,83;85
"2020";"10";"60-79";0,29;8
"2020";"10";"80+";0,36;3
"2020";"10";"Gesamt";1,04;136
"2020";"11";"'05-09";3,59;21
"2020";"11";"'10-14";8,16;47
"2020";"11";"00-04";0,63;4
"2020";"11";"15-19";8,16;51
"2020";"11";"20-34";9,37;235
"2020";"11";"35-59";11,91;552
"2020";"11";"60-79";5,18;141
"2020";"11";"80+";4,81;40
"2020";"11";"Gesamt";8,31;1091
"2020";"12";"'05-09";9,06;53
"2020";"12";"'10-14";11,98;69
"2020";"12";"00-04";7,51;48
"2020";"12";"15-19";22,08;138
"2020";"12";"20-34";46,75;1173
"2020";"12";"35-59";50,69;2350
"2020";"12";"60-79";28,42;774
"2020";"12";"80+";26,1;217
"2020";"12";"Gesamt";36,75;4823
"2020";"13";"'05-09";16,59;97
"2020";"13";"'10-14";22,22;128
"2020";"13";"00-04";14,09;90
"2020";"13";"15-19";54,56;341
"2020";"13";"20-34";81,62;2048
"2020";"13";"35-59";86,12;3993
"2020";"13";"60-79";65,85;1793
"2020";"13";"80+";91,64;762
"2020";"13";"Gesamt";70,49;9252
"2020";"14";"'05-09";19,16;112
"2020";"14";"'10-14";27,6;159
"2020";"14";"00-04";18,16;116
"2020";"14";"15-19";56,8;355
"2020";"14";"20-34";86,04;2159
"2020";"14";"35-59";93,57;4338
"2020";"14";"60-79";86,16;2346
"2020";"14";"80+";150,69;1253
"2020";"14";"Gesamt";82,6;10841
"2020";"15";"'05-09";13,68;80
"2020";"15";"'10-14";15,62;90
"2020";"15";"00-04";11,27;72
"2020";"15";"15-19";41,92;262
"2020";"15";"20-34";60,7;1523
"2020";"15";"35-59";63,37;2938
"2020";"15";"60-79";58,83;1602
"2020";"15";"80+";132,89;1105
"2020";"15";"Gesamt";58,48;7675
"2020";"16";"'05-09";8,72;51
"2020";"16";"'10-14";14,58;84
"2020";"16";"00-04";7,36;47
"2020";"16";"15-19";26,4;165
"2020";"16";"20-34";37,02;929
"2020";"16";"35-59";37,08;1719
"2020";"16";"60-79";32,21;877
"2020";"16";"80+";102,59;853
"2020";"16";"Gesamt";36,01;4726
"2020";"17";"'05-09";5,47;32
"2020";"17";"'10-14";7,29;42
"2020";"17";"00-04";8,76;56
"2020";"17";"15-19";15,36;96
"2020";"17";"20-34";31,01;778
"2020";"17";"35-59";22,65;1050
"2020";"17";"60-79";19,54;532
"2020";"17";"80+";67,35;560
"2020";"17";"Gesamt";23,98;3147
"2020";"18";"'05-09";7,01;41
"2020";"18";"'10-14";6,42;37
"2020";"18";"00-04";5,48;35
"2020";"18";"15-19";8,48;53
"2020";"18";"20-34";19,21;482
"2020";"18";"35-59";12,92;599
"2020";"18";"60-79";10,36;282
"2020";"18";"80+";31,39;261
"2020";"18";"Gesamt";13,65;1791
"2020";"19";"'05-09";3,76;22
"2020";"19";"'10-14";5,9;34
"2020";"19";"00-04";3,76;24
"2020";"19";"15-19";7,68;48
"2020";"19";"20-34";13,07;328
"2020";"19";"35-59";9,58;444
"2020";"19";"60-79";7,71;210
"2020";"19";"80+";22,37;186
"2020";"19";"Gesamt";9,87;1296
