"Regierungsbezirk Land-/Stadtkreis";"Anzahl Fälle";"Änderung zum Vortag Fälle";"Anzahl Todesfälle";"Änderung zum Vortag Todesfälle";"Population";"Fälle/100.000 kumulativ";"Fälle der letzten 7 Tage";"7-Tages-Inzidenz"
"LK Aichach-Friedberg";3474;0;79;0;134655;2579,93;32;23,76
"LK Altötting";3867;20;160;1;111516;3467,66;88;78,91
"LK Amberg-Sulzbach";2950;30;110;0;103049;2862,72;112;108,69
"LK Ansbach";4842;21;130;1;184591;2623,1;109;59,05
"LK Aschaffenburg";5695;13;182;3;174200;3269,23;62;35,59
"LK Augsburg";7580;17;168;1;253468;2990,52;83;32,75
"LK Bad Kissingen";2259;8;81;0;103235;2188,21;34;32,93
"LK Bad Tölz-Wolfratshausen";3507;13;57;0;127917;2741,62;56;43,78
"LK Bamberg";3707;20;112;1;147163;2518,98;97;65,91
"LK Bayreuth";3337;31;127;0;103664;3219,05;122;117,69
"LK Berchtesgadener Land";4276;9;93;1;105929;4036,67;73;68,91
"LK Cham";3795;28;116;2;127998;2964,89;152;118,75
"LK Coburg";3275;4;139;0;86747;3775,35;26;29,97
"LK Dachau";5735;10;126;1;154899;3702,41;68;43,9
"LK Deggendorf";4298;9;120;0;119478;3597,31;84;70,31
"LK Dillingen a.d.Donau";2522;6;96;0;96562;2611,79;24;24,85
"LK Dingolfing-Landau";3254;4;73;1;96683;3365,64;57;58,96
"LK Donau-Ries";3602;2;137;0;133783;2692,42;18;13,45
"LK Ebersberg";4710;18;162;1;143649;3278,83;63;43,86
"LK Eichstätt";3351;7;70;1;132881;2521,81;43;32,36
"LK Erding";4996;7;89;1;138182;3615,52;55;39,8
"LK Erlangen-Höchstadt";3567;15;111;0;137262;2598,68;56;40,8
"LK Forchheim";3318;19;96;0;116203;2855,35;82;70,57
"LK Freising";5636;3;108;-1;180007;3130,99;89;49,44
"LK Freyung-Grafenau";3450;2;98;1;78362;4402,64;56;71,46
"LK Fürstenfeldbruck";6960;12;120;1;219311;3173,58;86;39,21
"LK Fürth";3712;16;175;0;117853;3149,69;83;70,43
"LK Garmisch-Partenkirchen";2502;5;78;0;88424;2829,55;45;50,89
"LK Günzburg";4318;12;93;1;127027;3399,28;30;23,62
"LK Haßberge";2414;6;68;0;84384;2860,73;34;40,29
"LK Hof";3837;15;109;1;94801;4047,43;176;185,65
"LK Kelheim";3174;8;82;0;123058;2579,27;41;33,32
"LK Kitzingen";2174;7;77;1;91155;2384,95;50;54,85
"LK Kronach";2196;6;57;0;66743;3290,23;44;65,92
"LK Kulmbach";2262;34;92;0;71566;3160,72;129;180,25
"LK Landsberg a.Lech";2948;8;48;1;120302;2450,5;44;36,57
"LK Landshut";5031;3;147;0;159895;3146,44;46;28,77
"LK Lichtenfels";2162;12;56;0;66776;3237,69;37;55,41
"LK Lindau";2307;17;57;0;81981;2814,07;51;62,21
"LK Main-Spessart";3161;7;184;0;126158;2505,59;38;30,12
"LK Miesbach";3132;5;57;0;100010;3131,69;46;46
"LK Miltenberg";4183;9;108;0;128743;3249,11;56;43,5
"LK Mühldorf a.Inn";4537;19;122;0;115872;3915,53;97;83,71
