"Folkmängd efter region, civilstånd, ålder, kön och år"

"region";"civilstånd";"ålder";"kön";"2020"
"SE110 Stockholms län";"ogifta";"0 år";"män";14577
"SE110 Stockholms län";"ogifta";"0 år";"kvinnor";13807
"SE110 Stockholms län";"ogifta";"1 år";"män";14579
"SE110 Stockholms län";"ogifta";"1 år";"kvinnor";13838
"SE110 Stockholms län";"ogifta";"2 år";"män";14794
"SE110 Stockholms län";"ogifta";"2 år";"kvinnor";14005
"SE110 Stockholms län";"ogifta";"3 år";"män";14642
"SE110 Stockholms län";"ogifta";"3 år";"kvinnor";14418
"SE110 Stockholms län";"ogifta";"4 år";"män";15302
"SE110 Stockholms län";"ogifta";"4 år";"kvinnor";14626
"SE110 Stockholms län";"ogifta";"5 år";"män";15424
"SE110 Stockholms län";"ogifta";"5 år";"kvinnor";14184
"SE110 Stockholms län";"ogifta";"6 år";"män";15438
"SE110 Stockholms län";"ogifta";"6 år";"kvinnor";14517
"SE110 Stockholms län";"ogifta";"7 år";"män";15458
"SE110 Stockholms län";"ogifta";"7 år";"kvinnor";14375
"SE110 Stockholms län";"ogifta";"8 år";"män";15156
"SE110 Stockholms län";"ogifta";"8 år";"kvinnor";14309
"SE110 Stockholms län";"ogifta";"9 år";"män";15240
"SE110 Stockholms län";"ogifta";"9 år";"kvinnor";14220
"SE110 Stockholms län";"ogifta";"10 år";"män";15871
"SE110 Stockholms län";"ogifta";"10 år";"kvinnor";14859
"SE110 Stockholms län";"ogifta";"11 år";"män";15236
"SE110 Stockholms län";"ogifta";"11 år";"kvinnor";14455
"SE110 Stockholms län";"ogifta";"12 år";"män";15346
"SE110 Stockholms län";"ogifta";"12 år";"kvinnor";14379
"SE110 Stockholms län";"ogifta";"13 år";"män";15012
"SE110 Stockholms län";"ogifta";"13 år";"kvinnor";13998
"SE110 Stockholms län";"ogifta";"14 år";"män";14769
"SE110 Stockholms län";"ogifta";"14 år";"kvinnor";13890
"SE110 Stockholms län";"ogifta";"15 år";"män";14133
"SE110 Stockholms län";"ogifta";"15 år";"kvinnor";13559
"SE110 Stockholms län";"ogifta";"16 år";"män";14233
"SE110 Stockholms län";"ogifta";"16 år";"kvinnor";13416
"SE110 Stockholms län";"ogifta";"17 år";"män";13846
"SE110 Stockholms län";"ogifta";"17 år";"kvinnor";13000
"SE110 Stockholms län";"ogifta";"18 år";"män";13416
"SE110 Stockholms län";"ogifta";"18 år";"kvinnor";12756
"SE110 Stockholms län";"ogifta";"19 år";"män";12664
"SE110 Stockholms län";"ogifta";"19 år";"kvinnor";11964
"SE110 Stockholms län";"ogifta";"20 år";"män";12842
"SE110 Stockholms län";"ogifta";"20 år";"kvinnor";11325
"SE110 Stockholms län";"ogifta";"21 år";"män";13316
"SE110 Stockholms län";"ogifta";"21 år";"kvinnor";10784
"SE110 Stockholms län";"ogifta";"22 år";"män";12363
"SE110 Stockholms län";"ogifta";"22 år";"kvinnor";10875
"SE110 Stockholms län";"ogifta";"23 år";"män";12471
"SE110 Stockholms län";"ogifta";"23 år";"kvinnor";11492
"SE110 Stockholms län";"ogifta";"24 år";"män";13281
"SE110 Stockholms län";"ogifta";"24 år";"kvinnor";12573
"SE110 Stockholms län";"ogifta";"25 år";"män";14964
"SE110 Stockholms län";"ogifta";"25 år";"kvinnor";13589
"SE110 Stockholms län";"ogifta";"26 år";"män";16341
"SE110 Stockholms län";"ogifta";"26 år";"kvinnor";14949
"SE110 Stockholms län";"ogifta";"27 år";"män";16773
"SE110 Stockholms län";"ogifta";"27 år";"kvinnor";15220
"SE110 Stockholms län";"ogifta";"28 år";"män";17178
"SE110 Stockholms län";"ogifta";"28 år";"kvinnor";15387
"SE110 Stockholms län";"ogifta";"29 år";"män";16974
"SE110 Stockholms län";"ogifta";"29 år";"kvinnor";14571
"SE110 Stockholms län";"ogifta";"30 år";"män";16365
"SE110 Stockholms län";"ogifta";"30 år";"kvinnor";14191
"SE110 Stockholms län";"ogifta";"31 år";"män";15284
"SE110 Stockholms län";"ogifta";"31 år";"kvinnor";12517
"SE110 Stockholms län";"ogifta";"32 år";"män";14162
"SE110 Stockholms län";"ogifta";"32 år";"kvinnor";11463
"SE110 Stockholms län";"ogifta";"33 år";"män";12788
"SE110 Stockholms län";"ogifta";"33 år";"kvinnor";9992
"SE110 Stockholms län";"ogifta";"34 år";"män";11706
"SE110 Stockholms län";"ogifta";"34 år";"kvinnor";9044
"SE110 Stockholms län";"ogifta";"35 år";"män";10662
"SE110 Stockholms län";"ogifta";"35 år";"kvinnor";8170
"SE110 Stockholms län";"ogifta";"36 år";"män";9786
"SE110 Stockholms län";"ogifta";"36 år";"kvinnor";7442
"SE110 Stockholms län";"ogifta";"37 år";"män";8865
"SE110 Stockholms län";"ogifta";"37 år";"kvinnor";6833
"SE110 Stockholms län";"ogifta";"38 år";"män";8429
"SE110 Stockholms län";"ogifta";"38 år";"kvinnor";6450
"SE110 Stockholms län";"ogifta";"39 år";"män";7893
"SE110 Stockholms län";"ogifta";"39 år";"kvinnor";6023
"SE110 Stockholms län";"ogifta";"40 år";"män";7669
"SE110 Stockholms län";"ogifta";"40 år";"kvinnor";6035
"SE110 Stockholms län";"ogifta";"41 år";"män";6955
"SE110 Stockholms län";"ogifta";"41 år";"kvinnor";5371
"SE110 Stockholms län";"ogifta";"42 år";"män";6274
"SE110 Stockholms län";"ogifta";"42 år";"kvinnor";5015
"SE110 Stockholms län";"ogifta";"43 år";"män";5997
"SE110 Stockholms län";"ogifta";"43 år";"kvinnor";4710
"SE110 Stockholms län";"ogifta";"44 år";"män";5873
"SE110 Stockholms län";"ogifta";"44 år";"kvinnor";4786
"SE110 Stockholms län";"ogifta";"45 år";"män";5739
"SE110 Stockholms län";"ogifta";"45 år";"kvinnor";4731
"SE110 Stockholms län";"ogifta";"46 år";"män";5802
"SE110 Stockholms län";"ogifta";"46 år";"kvinnor";4702
"SE110 Stockholms län";"ogifta";"47 år";"män";5386
"SE110 Stockholms län";"ogifta";"47 år";"kvinnor";4574
"SE110 Stockholms län";"ogifta";"48 år";"män";5425
