"Dato";"Region";"Køn";"Bekræftede tilfælde";"Døde";"Overstået infektion";"Indlæggelser";"Testede personer";"Ændring i antal bekræftede tilfælde";"Ændring i antal døde";"Ændring i antal overstået infektion";"Ændring i antal indlagte";"Ændring i antallet af testede personer";"Antallet af prøver";"Ændring i antallet af prøver"
2021-03-12;Hovedstaden;F;53425;610;51189;3115;774001;114;1;110;9;1395;4048696;43216
2021-03-12;Hovedstaden;M;49794;666;47436;3205;716160;117;1;115;6;1575;3049125;34897
2021-03-12;Midtjylland;F;19590;147;18802;817;512738;65;0;34;0;1178;2325030;29718
2021-03-12;Midtjylland;M;18830;193;17930;1028;482551;52;0;33;2;1330;1751787;22469
2021-03-12;NA;;0;0;0;0;19;0;0;0;0;0;23;0
2021-03-12;NA;F;678;0;633;41;26218;7;0;2;0;396;60739;891
2021-03-12;NA;M;1440;2;1312;90;53469;13;0;6;0;797;115749;1960
2021-03-12;Nordjylland;F;7460;68;7178;360;243164;21;0;16;0;249;1210437;15604
2021-03-12;Nordjylland;M;7405;109;7060;448;234316;15;0;19;0;309;914259;11378
2021-03-12;Sjælland;F;15897;170;15158;1017;318671;46;0;60;3;859;1509225;17134
2021-03-12;Sjælland;M;14553;215;13738;1209;297660;45;1;46;2;981;1112446;14589
2021-03-12;Syddanmark;F;15006;94;14032;687;472299;78;0;57;3;730;2203385;23282
2021-03-12;Syddanmark;M;15227;113;14133;781;447297;72;0;83;5;776;1695317;17521
