"Region";"Aldersgruppe";"Bekræftede tilfælde";"Døde";"Indlagte på intensiv afdeling";"Indlagte";"Dato"
;0-9;70;0;0;2;16/03/2021
Hovedstaden;0-9;7604;1;1;103;16/03/2021
Midtjylland;0-9;2716;0;0;20;16/03/2021
Nordjylland;0-9;886;0;0;6;16/03/2021
Sjælland;0-9;1807;0;0;17;16/03/2021
Syddanmark;0-9;2317;0;2;21;16/03/2021
;10-19;83;0;0;0;16/03/2021
Hovedstaden;10-19;15021;0;0;85;16/03/2021
Midtjylland;10-19;6343;0;0;24;16/03/2021
Nordjylland;10-19;2291;0;0;8;16/03/2021
Sjælland;10-19;5036;0;1;36;16/03/2021
Syddanmark;10-19;5251;0;0;16;16/03/2021
;20-29;501;0;0;10;16/03/2021
Hovedstaden;20-29;21331;0;3;271;16/03/2021
Midtjylland;20-29;7723;0;0;73;16/03/2021
Nordjylland;20-29;2801;0;0;34;16/03/2021
Sjælland;20-29;3962;0;0;72;16/03/2021
Syddanmark;20-29;5227;0;4;68;16/03/2021
;30-39;544;0;0;20;16/03/2021
Hovedstaden;30-39;15535;4;4;445;16/03/2021
Midtjylland;30-39;4943;0;2;110;16/03/2021
Nordjylland;30-39;1819;0;1;38;16/03/2021
Sjælland;30-39;3776;2;2;107;16/03/2021
Syddanmark;30-39;3897;0;1;86;16/03/2021
;40-49;488;0;0;26;16/03/2021
Hovedstaden;40-49;14992;4;12;578;16/03/2021
Midtjylland;40-49;5433;1;2;174;16/03/2021
Nordjylland;40-49;1988;0;1;62;16/03/2021
Sjælland;40-49;5028;1;6;211;16/03/2021
Syddanmark;40-49;4553;1;7;141;16/03/2021
;50-59;314;1;1;37;16/03/2021
Hovedstaden;50-59;13929;28;11;887;16/03/2021
Midtjylland;50-59;5561;9;6;333;16/03/2021
Nordjylland;50-59;2290;3;2;102;16/03/2021
Sjælland;50-59;5169;8;7;316;16/03/2021
Syddanmark;50-59;4580;4;13;231;16/03/2021
;60-69;114;0;1;22;16/03/2021
Hovedstaden;60-69;7367;107;14;940;16/03/2021
Midtjylland;60-69;3126;28;1;310;16/03/2021
Nordjylland;60-69;1482;10;3;134;16/03/2021
Sjælland;60-69;2893;34;10;373;16/03/2021
Syddanmark;60-69;2576;16;10;264;16/03/2021
;70-79;28;0;0;10;16/03/2021
Hovedstaden;70-79;4656;320;25;1411;16/03/2021
Midtjylland;70-79;1813;86;2;430;16/03/2021
Nordjylland;70-79;944;60;3;215;16/03/2021
Sjælland;70-79;1883;103;17;537;16/03/2021
Syddanmark;70-79;1586;55;9;337;16/03/2021
;80-89;10;1;0;5;16/03/2021
Hovedstaden;80-89;2767;512;10;1258;16/03/2021
Midtjylland;80-89;886;149;0;305;16/03/2021
Nordjylland;80-89;438;62;2;173;16/03/2021
Sjælland;80-89;954;152;4;448;16/03/2021
Syddanmark;80-89;705;88;5;264;16/03/2021
;90+;5;0;0;0;16/03/2021
Hovedstaden;90+;984;302;2;383;16/03/2021
Midtjylland;90+;258;68;0;77;16/03/2021
Nordjylland;90+;125;43;0;38;16/03/2021
Sjælland;90+;269;88;0;130;16/03/2021
Syddanmark;90+;164;44;0;59;16/03/2021
