"uge";"Region Hovedstaden";"Region Nordjylland";"Region Sjælland";"Region Midtjylland";"Region Syddanmark"
2020-W15;43;1;2;;
2020-W16;5;0;;;
2020-W17;2575;780;1884;217;597
2020-W18;5574;2638;2009;2582;2173
2020-W19;5387;2537;1510;2995;2794
2020-W20;3722;2166;1354;2068;1958
2020-W21;9339;2608;3808;4956;4147
2020-W22;9332;2612;5033;5494;5104
2020-W23;9575;865;3020;2304;2205
2020-W24;24211;2760;7404;6566;5497
2020-W25;18773;6451;5494;4825;3791
2020-W26;18833;7917;5900;7055;4526
2020-W27;17814;9029;4844;7687;5403
2020-W28;18362;6720;5375;7548;5640
2020-W29;21568;5477;6491;9415;6872
2020-W30;24667;6123;7423;11550;8230
2020-W31;31101;8558;10387;15094;10419
2020-W32;33214;10269;14746;25986;13474
2020-W33;34983;11924;13601;49555;17410
2020-W34;38693;12422;15380;44499;19405
2020-W35;38765;9893;12926;39036;17675
2020-W36;47159;10973;13633;34149;21390
2020-W37;70939;16203;23653;37122;40746
2020-W38;99713;25866;28577;31495;32801
2020-W39;96871;26491;29780;30555;31445
2020-W40;81805;18440;31035;37065;30461
2020-W41;81674;21062;29267;43055;29104
2020-W42;65351;16640;20941;37831;29409
2020-W43;97235;29336;31403;57144;42846
2020-W44;130779;44195;42191;78698;65277
2020-W45;141206;56286;46943;67017;56446
2020-W46;138097;88245;45908;70131;55937
2020-W47;126219;90462;46222;71552;57115
2020-W48;129077;39702;44617;96420;60369
2020-W49;161828;26637;58304;93980;64823
2020-W50;202648;43294;71394;114998;78243
2020-W51;245841;67853;92285;139286;119607
2020-W52;199168;51560;68267;92281;91626
2020-W53;156458;50861;58680;74805;80107
2021-W01;145988;53575;72618;74986;90928
2021-W02;158500;57289;71532;113284;97936
2021-W03;189261;73138;94344;139554;135644
2021-W04;196250;78672;97939;146110;148164
2021-W05;208814;80600;99196;150457;149865
2021-W06;215740;82552;100950;151646;155848
2021-W07;229785;84897;106293;154737;165966
2021-W08;268474;97376;117475;173285;199688
2021-W09;283265;103547;131487;202357;209942
2021-W10;288349;103137;136666;209999;219455
2021-W11;293502;114788;141078;228920;237336
