"Region";"Aldersgruppe";"Bekræftede tilfælde";"Døde";"Indlagte på intensiv afdeling";"Indlagte";"Dato"
;0-9;3;0;0;0;23/03/2021
Hovedstaden;0-9;248;0;0;1;23/03/2021
Midtjylland;0-9;107;0;0;1;23/03/2021
Nordjylland;0-9;18;0;0;0;23/03/2021
Sjælland;0-9;58;0;0;0;23/03/2021
Syddanmark;0-9;176;0;0;0;23/03/2021
;10-19;3;0;0;0;23/03/2021
Hovedstaden;10-19;364;0;0;1;23/03/2021
Midtjylland;10-19;168;0;0;0;23/03/2021
Nordjylland;10-19;63;0;0;0;23/03/2021
Sjælland;10-19;118;0;0;0;23/03/2021
Syddanmark;10-19;288;0;0;0;23/03/2021
;20-29;26;0;0;0;23/03/2021
Hovedstaden;20-29;461;0;3;4;23/03/2021
Midtjylland;20-29;167;0;0;1;23/03/2021
Nordjylland;20-29;68;0;0;0;23/03/2021
Sjælland;20-29;90;0;1;1;23/03/2021
Syddanmark;20-29;201;0;1;1;23/03/2021
;30-39;31;0;0;0;23/03/2021
Hovedstaden;30-39;358;0;3;6;23/03/2021
Midtjylland;30-39;128;0;1;2;23/03/2021
Nordjylland;30-39;43;0;0;0;23/03/2021
Sjælland;30-39;77;0;1;2;23/03/2021
Syddanmark;30-39;197;0;3;3;23/03/2021
;40-49;31;0;0;1;23/03/2021
Hovedstaden;40-49;342;0;1;3;23/03/2021
Midtjylland;40-49;95;0;0;0;23/03/2021
Nordjylland;40-49;51;0;0;0;23/03/2021
Sjælland;40-49;103;0;2;2;23/03/2021
Syddanmark;40-49;195;0;2;2;23/03/2021
;50-59;23;0;2;3;23/03/2021
Hovedstaden;50-59;316;0;6;13;23/03/2021
Midtjylland;50-59;100;0;2;4;23/03/2021
Nordjylland;50-59;44;0;0;0;23/03/2021
Sjælland;50-59;93;0;0;3;23/03/2021
Syddanmark;50-59;130;0;5;6;23/03/2021
;60-69;1;0;0;0;23/03/2021
Hovedstaden;60-69;152;0;8;10;23/03/2021
Midtjylland;60-69;47;0;2;2;23/03/2021
Nordjylland;60-69;40;0;2;2;23/03/2021
Sjælland;60-69;43;0;1;1;23/03/2021
Syddanmark;60-69;68;0;0;0;23/03/2021
Hovedstaden;70-79;76;2;2;4;23/03/2021
Midtjylland;70-79;20;0;2;3;23/03/2021
Nordjylland;70-79;28;0;0;0;23/03/2021
Sjælland;70-79;27;0;3;9;23/03/2021
Syddanmark;70-79;29;0;3;4;23/03/2021
Hovedstaden;80-89;21;0;3;5;23/03/2021
Midtjylland;80-89;2;0;0;0;23/03/2021
Nordjylland;80-89;2;0;0;1;23/03/2021
Sjælland;80-89;9;0;3;3;23/03/2021
Syddanmark;80-89;13;0;3;3;23/03/2021
Hovedstaden;90+;4;1;1;2;23/03/2021
Sjælland;90+;2;0;1;1;23/03/2021
