"Dato";"Region";"Køn";"Bekræftede tilfælde";"Døde";"Overstået infektion";"Indlæggelser";"Testede personer";"Ændring i antal bekræftede tilfælde";"Ændring i antal døde";"Ændring i antal overstået infektion";"Ændring i antal indlagte";"Ændring i antallet af testede personer";"Antallet af prøver";"Ændring i antallet af prøver";"test_AG";"test_AG_diff"
2021-03-26;Hovedstaden;F;55236;616;52785;3179;774919;213;0;165;6;784;4292004;31967;443134;11449
2021-03-26;Hovedstaden;M;51665;670;48968;3302;715192;193;0;130;13;914;3188003;24350;419468;10204
2021-03-26;Midtjylland;F;19950;149;19243;847;514900;46;0;35;4;555;2515948;20480;266248;16848
2021-03-26;Midtjylland;M;19117;193;18333;1052;482795;52;0;39;0;742;1846871;14160;271092;16099
2021-03-26;NA;;0;0;0;0;21;0;0;0;0;0;33;0;0;0
2021-03-26;NA;F;660;0;641;41;17031;5;0;6;0;224;52447;670;22793;480
2021-03-26;NA;M;1421;2;1336;98;29950;12;0;10;0;419;87433;1332;59644;1816
2021-03-26;Nordjylland;F;7585;69;7323;363;243715;7;0;15;0;154;1304754;10428;121550;8096
2021-03-26;Nordjylland;M;7562;109;7205;457;233797;18;0;18;1;194;960538;7001;123658;7415
2021-03-26;Sjælland;F;16284;173;15644;1049;318588;37;1;36;1;396;1639079;13427;177288;11507
2021-03-26;Sjælland;M;14946;220;14217;1241;296223;40;0;45;0;442;1180485;10234;179114;10462
2021-03-26;Syddanmark;F;15990;96;14858;732;470987;80;0;80;4;710;2382418;23221;292610;4282
2021-03-26;Syddanmark;M;16217;114;15043;827;444574;86;1;95;2;864;1800326;18586;280403;4589
