"Kommune";"Aldersgruppe";"Bekræftede tilfælde";"Dagsdato"
;0-9;70;2021-04-06
019;0-9;14;2021-04-06
101;0-9;2900;2021-04-06
147;0-9;419;2021-04-06
151;0-9;271;2021-04-06
153;0-9;293;2021-04-06
155;0-9;74;2021-04-06
157;0-9;222;2021-04-06
159;0-9;437;2021-04-06
161;0-9;120;2021-04-06
163;0-9;190;2021-04-06
165;0-9;198;2021-04-06
167;0-9;305;2021-04-06
169;0-9;406;2021-04-06
173;0-9;195;2021-04-06
175;0-9;233;2021-04-06
183;0-9;259;2021-04-06
185;0-9;250;2021-04-06
187;0-9;133;2021-04-06
190;0-9;158;2021-04-06
201;0-9;59;2021-04-06
210;0-9;166;2021-04-06
217;0-9;233;2021-04-06
219;0-9;169;2021-04-06
223;0-9;60;2021-04-06
230;0-9;145;2021-04-06
240;0-9;211;2021-04-06
250;0-9;93;2021-04-06
253;0-9;226;2021-04-06
259;0-9;193;2021-04-06
260;0-9;50;2021-04-06
265;0-9;282;2021-04-06
269;0-9;83;2021-04-06
270;0-9;98;2021-04-06
306;0-9;30;2021-04-06
316;0-9;163;2021-04-06
320;0-9;56;2021-04-06
326;0-9;77;2021-04-06
329;0-9;83;2021-04-06
330;0-9;225;2021-04-06
336;0-9;37;2021-04-06
340;0-9;47;2021-04-06
350;0-9;99;2021-04-06
360;0-9;41;2021-04-06
370;0-9;160;2021-04-06
376;0-9;89;2021-04-06
390;0-9;50;2021-04-06
400;0-9;27;2021-04-06
410;0-9;57;2021-04-06
420;0-9;37;2021-04-06
430;0-9;66;2021-04-06
440;0-9;62;2021-04-06
450;0-9;65;2021-04-06
461;0-9;636;2021-04-06
479;0-9;69;2021-04-06
480;0-9;41;2021-04-06
482;0-9;5;2021-04-06
492;0-9;3;2021-04-06
510;0-9;72;2021-04-06
530;0-9;46;2021-04-06
540;0-9;123;2021-04-06
550;0-9;40;2021-04-06
561;0-9;266;2021-04-06
563;0-9;1;2021-04-06
573;0-9;73;2021-04-06
575;0-9;70;2021-04-06
580;0-9;107;2021-04-06
607;0-9;112;2021-04-06
615;0-9;201;2021-04-06
621;0-9;390;2021-04-06
630;0-9;352;2021-04-06
657;0-9;153;2021-04-06
661;0-9;102;2021-04-06
665;0-9;25;2021-04-06
671;0-9;41;2021-04-06
706;0-9;44;2021-04-06
707;0-9;61;2021-04-06
710;0-9;94;2021-04-06
727;0-9;46;2021-04-06
730;0-9;249;2021-04-06
740;0-9;225;2021-04-06
741;0-9;2;2021-04-06
746;0-9;173;2021-04-06
751;0-9;1194;2021-04-06
756;0-9;73;2021-04-06
760;0-9;47;2021-04-06
766;0-9;68;2021-04-06
773;0-9;31;2021-04-06
