"Region";"Alders gruppe";"Bekræftede tilfælde";"Døde"
;0-9;84;0
Hovedstaden;0-9;8423;1
Midtjylland;0-9;2995;0
Nordjylland;0-9;942;0
Sjælland;0-9;1949;0
Syddanmark;0-9;2713;0
;10-19;93;0
Hovedstaden;10-19;16106;0
Midtjylland;10-19;6670;0
Nordjylland;10-19;2419;0
Sjælland;10-19;5237;0
Syddanmark;10-19;5824;0
;20-29;512;0
Hovedstaden;20-29;22738;0
Midtjylland;20-29;7965;0
Nordjylland;20-29;2939;0
Sjælland;20-29;4210;0
Syddanmark;20-29;5668;0
;30-39;578;0
Hovedstaden;30-39;16659;4
Midtjylland;30-39;5198;0
Nordjylland;30-39;1889;0
Sjælland;30-39;3993;2
Syddanmark;30-39;4295;0
;40-49;522;0
Hovedstaden;40-49;16102;4
Midtjylland;40-49;5656;1
Nordjylland;40-49;2080;0
Sjælland;40-49;5248;1
Syddanmark;40-49;4982;1
;50-59;336;1
Hovedstaden;50-59;14885;28
Midtjylland;50-59;5728;10
Nordjylland;50-59;2371;3
Sjælland;50-59;5402;10
Syddanmark;50-59;4931;4
;60-69;121;0
Hovedstaden;60-69;7801;112
Midtjylland;60-69;3180;28
Nordjylland;60-69;1515;10
Sjælland;60-69;2971;36
Syddanmark;60-69;2753;16
;70-79;28;0
Hovedstaden;70-79;4856;327
Midtjylland;70-79;1840;87
Nordjylland;70-79;961;60
Sjælland;70-79;1912;108
Syddanmark;70-79;1675;56
;80-89;10;1
Hovedstaden;80-89;2826;519
Midtjylland;80-89;885;149
Nordjylland;80-89;437;62
Sjælland;80-89;962;155
Syddanmark;80-89;742;90
;90+;12;1
Hovedstaden;90+;994;304
Midtjylland;90+;260;69
Nordjylland;90+;125;43
Sjælland;90+;273;88
Syddanmark;90+;167;45
