"Region";"Alders gruppe";"Indlæggelser"
;0-9;2
Hovedstaden;0-9;111
Midtjylland;0-9;22
Nordjylland;0-9;7
Sjælland;0-9;18
Syddanmark;0-9;22
;10-19;0
Hovedstaden;10-19;89
Midtjylland;10-19;27
Nordjylland;10-19;10
Sjælland;10-19;40
Syddanmark;10-19;17
;20-29;11
Hovedstaden;20-29;295
Midtjylland;20-29;81
Nordjylland;20-29;38
Sjælland;20-29;77
Syddanmark;20-29;78
;30-39;21
Hovedstaden;30-39;486
Midtjylland;30-39;118
Nordjylland;30-39;39
Sjælland;30-39;120
Syddanmark;30-39;102
;40-49;31
Hovedstaden;40-49;639
Midtjylland;40-49;191
Nordjylland;40-49;69
Sjælland;40-49;225
Syddanmark;40-49;165
;50-59;42
Hovedstaden;50-59;973
Midtjylland;50-59;354
Nordjylland;50-59;111
Sjælland;50-59;337
Syddanmark;50-59;266
;60-69;23
Hovedstaden;60-69;997
Midtjylland;60-69;330
Nordjylland;60-69;140
Sjælland;60-69;386
Syddanmark;60-69;281
;70-79;12
Hovedstaden;70-79;1473
Midtjylland;70-79;452
Nordjylland;70-79;223
Sjælland;70-79;560
Syddanmark;70-79;366
;80-89;5
Hovedstaden;80-89;1288
Midtjylland;80-89;312
Nordjylland;80-89;176
Sjælland;80-89;456
Syddanmark;80-89;274
;90+;0
Hovedstaden;90+;387
Midtjylland;90+;78
Nordjylland;90+;39
Sjælland;90+;131
Syddanmark;90+;60
