"Dato";"Region";"Køn";"Bekræftede tilfælde";"Døde";"Overstået infektion";"Indlæggelser";"Testede personer";"Ændring i antal bekræftede tilfælde";"Ændring i antal døde";"Ændring i antal overstået infektion";"Ændring i antal indlagte";"Ændring i antallet af testede personer";"Antallet af prøver";"Ændring i antallet af prøver";"test_AG";"test_AG_diff"
2021-04-12;Hovedstaden;F;58058;621;55337;3318;788935;113;0;160;5;698;4819961;27681;926948;36818
2021-04-12;Hovedstaden;M;54642;679;51768;3463;730864;124;1;165;8;720;3604456;21887;863340;32819
2021-04-12;Midtjylland;F;20803;150;19997;882;528372;36;0;38;1;910;2875544;20862;524313;18785
2021-04-12;Midtjylland;M;19970;195;19116;1097;496765;45;0;37;3;747;2117969;15530;508792;17544
2021-04-12;NA;;0;0;0;0;23;0;0;0;0;0;35;0;0;0
2021-04-12;NA;F;720;0;683;45;18978;2;0;0;0;45;60689;248;40107;1152
2021-04-12;NA;M;1626;3;1524;105;33365;5;0;3;0;77;103995;418;92484;2106
2021-04-12;Nordjylland;F;7912;70;7560;380;247339;28;1;10;0;281;1471470;10962;221169;7124
2021-04-12;Nordjylland;M;7982;109;7512;475;237947;37;0;14;0;272;1085128;8480;217871;6743
2021-04-12;Sjælland;F;16849;179;16228;1080;325968;25;0;26;0;296;1866659;9076;360007;13099
2021-04-12;Sjælland;M;15630;222;14900;1279;304236;30;0;38;3;310;1353688;7201;347939;11799
2021-04-12;Syddanmark;F;16960;97;16201;773;483631;37;0;63;1;700;2747163;18678;602362;18816
2021-04-12;Syddanmark;M;17154;118;16418;871;458147;32;0;60;2;622;2088003;14496;557028;16425
