"Region";"Alders gruppe";"Bekræftede tilfælde";"Døde"
;0-9;85;0
Hovedstaden;0-9;8540;1
Midtjylland;0-9;3029;0
Nordjylland;0-9;951;0
Sjælland;0-9;1976;0
Syddanmark;0-9;2752;0
;10-19;96;0
Hovedstaden;10-19;16319;0
Midtjylland;10-19;6759;0
Nordjylland;10-19;2481;0
Sjælland;10-19;5291;0
Syddanmark;10-19;5883;0
;20-29;527;0
Hovedstaden;20-29;23051;0
Midtjylland;20-29;8038;0
Nordjylland;20-29;2995;0
Sjælland;20-29;4258;0
Syddanmark;20-29;5745;0
;30-39;584;0
Hovedstaden;30-39;16871;4
Midtjylland;30-39;5239;0
Nordjylland;30-39;1910;0
Sjælland;30-39;4050;2
Syddanmark;30-39;4340;0
;40-49;535;0
Hovedstaden;40-49;16287;5
Midtjylland;40-49;5715;1
Nordjylland;40-49;2102;0
Sjælland;40-49;5285;1
Syddanmark;40-49;5033;1
;50-59;345;1
Hovedstaden;50-59;15037;28
Midtjylland;50-59;5792;11
Nordjylland;50-59;2403;3
Sjælland;50-59;5454;10
Syddanmark;50-59;4981;4
;60-69;123;0
Hovedstaden;60-69;7862;112
Midtjylland;60-69;3195;28
Nordjylland;60-69;1521;10
Sjælland;60-69;2998;36
Syddanmark;60-69;2780;17
;70-79;29;0
Hovedstaden;70-79;4895;327
Midtjylland;70-79;1852;87
Nordjylland;70-79;966;60
Sjælland;70-79;1931;109
Syddanmark;70-79;1686;58
;80-89;10;1
Hovedstaden;80-89;2842;519
Midtjylland;80-89;894;149
Nordjylland;80-89;439;63
Sjælland;80-89;963;155
Syddanmark;80-89;745;90
;90+;12;1
Hovedstaden;90+;996;304
Midtjylland;90+;260;69
Nordjylland;90+;126;43
Sjælland;90+;273;88
Syddanmark;90+;169;45
