"uge";"Region Hovedstaden";"Region Nordjylland";"Region Sjælland";"Region Syddanmark";"Region Midtjylland"
2020-W13;2;0;;;
2020-W15;45;1;3;;
2020-W16;34;0;;1;
2020-W17;2597;780;1891;597;217
2020-W18;5606;2640;2010;2172;2585
2020-W19;5405;2537;1512;2796;2996
2020-W20;3732;2165;1356;1958;2068
2020-W21;9385;2614;3813;4150;4962
2020-W22;13189;3234;6321;6235;6758
2020-W23;13619;1346;4617;3296;3494
2020-W24;17265;1816;4585;3294;4141
2020-W25;19319;6832;5509;3789;4834
2020-W26;18898;7931;5905;4526;7055
2020-W27;17890;9037;4848;5402;7688
2020-W28;18336;6723;5376;5645;7552
2020-W29;21728;5487;6496;6876;9422
2020-W30;24829;6141;7425;8233;11557
2020-W31;31314;8564;10394;10427;15105
2020-W32;33345;10277;14752;13477;25993
2020-W33;35045;12004;13599;17402;49570
2020-W34;38674;12354;15377;19411;44489
2020-W35;38755;9893;12924;17664;39019
2020-W36;47160;10973;13634;21391;34157
2020-W37;70933;16203;23650;40743;37116
2020-W38;99709;25866;28576;32799;31490
2020-W39;96872;26491;29780;31445;30555
2020-W40;81805;18440;31036;30461;37065
2020-W41;81672;21062;29267;29106;43055
2020-W42;65352;16640;20941;29409;37831
2020-W43;97235;29336;31404;42847;57144
2020-W44;130778;44196;42193;65277;78695
2020-W45;141209;56286;46940;56447;67017
2020-W46;138097;88245;45909;55938;70131
2020-W47;126217;90461;46223;57117;71553
2020-W48;129076;39702;44618;60370;96421
2020-W49;161825;26638;58306;64825;93980
2020-W50;202646;43296;71395;78242;114998
2020-W51;245842;67853;92286;119610;139287
2020-W52;199166;51559;68266;91625;92283
2020-W53;156451;50863;58681;80109;74805
2021-W01;145988;53571;72618;90928;74982
2021-W02;158501;57288;71536;97940;113285
2021-W03;189267;73137;94344;135642;139559
2021-W04;196255;78672;97941;148165;146103
2021-W05;208813;80599;99195;149873;150456
2021-W06;215730;82555;100958;155852;151644
2021-W07;229806;84901;106301;165976;154762
2021-W08;268498;97383;117495;199713;173316
2021-W09;283366;103582;131523;209987;202479
2021-W10;288461;103231;136750;219502;210147
2021-W11;293900;114953;141158;237673;229160
2021-W12;307626;106624;138877;232802;218916
2021-W13;320231;103386;139270;231260;221917
2021-W14;291215;100970;135743;213686;230178
