"Region";"Aldersgruppe";"Bekræftede tilfælde";"Døde";"Indlagte på intensiv afdeling";"Indlagte";"Dato"
;0-9;85;0;0;2;12/04/2021
Hovedstaden;0-9;8540;1;0;111;12/04/2021
Midtjylland;0-9;3029;0;0;22;12/04/2021
Nordjylland;0-9;951;0;0;7;12/04/2021
Sjælland;0-9;1976;0;0;18;12/04/2021
Syddanmark;0-9;2752;0;0;22;12/04/2021
;10-19;96;0;0;0;12/04/2021
Hovedstaden;10-19;16319;0;1;90;12/04/2021
Midtjylland;10-19;6759;0;1;28;12/04/2021
Nordjylland;10-19;2481;0;0;10;12/04/2021
Sjælland;10-19;5291;0;0;40;12/04/2021
Syddanmark;10-19;5883;0;0;17;12/04/2021
;20-29;527;0;0;12;12/04/2021
Hovedstaden;20-29;23051;0;5;300;12/04/2021
Midtjylland;20-29;8038;0;1;82;12/04/2021
Nordjylland;20-29;2995;0;1;38;12/04/2021
Sjælland;20-29;4258;0;1;80;12/04/2021
Syddanmark;20-29;5745;0;4;80;12/04/2021
;30-39;584;0;0;21;12/04/2021
Hovedstaden;30-39;16871;4;4;491;12/04/2021
Midtjylland;30-39;5239;0;0;121;12/04/2021
Nordjylland;30-39;1910;0;1;39;12/04/2021
Sjælland;30-39;4050;2;1;121;12/04/2021
Syddanmark;30-39;4340;0;2;104;12/04/2021
;40-49;535;0;2;32;12/04/2021
Hovedstaden;40-49;16287;5;14;647;12/04/2021
Midtjylland;40-49;5715;1;2;192;12/04/2021
Nordjylland;40-49;2102;0;2;69;12/04/2021
Sjælland;40-49;5285;1;6;226;12/04/2021
Syddanmark;40-49;5033;1;2;166;12/04/2021
;50-59;345;1;1;42;12/04/2021
Hovedstaden;50-59;15037;28;17;985;12/04/2021
Midtjylland;50-59;5792;11;5;357;12/04/2021
Nordjylland;50-59;2403;3;2;112;12/04/2021
Sjælland;50-59;5454;10;5;340;12/04/2021
Syddanmark;50-59;4981;4;6;270;12/04/2021
;60-69;123;0;1;24;12/04/2021
Hovedstaden;60-69;7862;112;15;1002;12/04/2021
Midtjylland;60-69;3195;28;8;330;12/04/2021
Nordjylland;60-69;1521;10;4;141;12/04/2021
Sjælland;60-69;2998;36;6;387;12/04/2021
Syddanmark;60-69;2780;17;7;283;12/04/2021
;70-79;29;0;0;12;12/04/2021
Hovedstaden;70-79;4895;327;31;1477;12/04/2021
Midtjylland;70-79;1852;87;3;455;12/04/2021
Nordjylland;70-79;966;60;6;223;12/04/2021
Sjælland;70-79;1931;109;7;560;12/04/2021
Syddanmark;70-79;1686;58;7;366;12/04/2021
;80-89;10;1;0;5;12/04/2021
Hovedstaden;80-89;2842;519;11;1291;12/04/2021
Midtjylland;80-89;894;149;4;314;12/04/2021
Nordjylland;80-89;439;63;0;177;12/04/2021
Sjælland;80-89;963;155;1;456;12/04/2021
Syddanmark;80-89;745;90;7;276;12/04/2021
;90+;12;1;0;0;12/04/2021
Hovedstaden;90+;996;304;2;387;12/04/2021
Midtjylland;90+;260;69;0;78;12/04/2021
Nordjylland;90+;126;43;1;39;12/04/2021
Sjælland;90+;273;88;0;131;12/04/2021
Syddanmark;90+;169;45;0;60;12/04/2021
